gap_year,brand,product_category,gap_type,http_status,snapshot_id,source_id,source_url,archive_url,reason,evidence_excerpt
,HKT Enterprise,business_mobile_5g,source_fetched_no_plan_rows,403,,hkt_enterprise_5g_business_mobile,https://www.hkt-enterprise.com/en/products-solutions/mobility/enterprise-mobile-solutions,,当前官方页面可访问，但未披露可结构化的套餐价格行；不能估算。,Error 403 Error 403 Web Page Blocked block URL: www.hkt-enterprise.com/en/products-solutions/mobility/enterprise-mobile-solutions Client IP: 103.62.49.178 Attack ID: 20000051 Message ID: 000371372560 What happened? The page cannot be displayed. What can I do? Please contact the administrator for additional information.
,HKT Enterprise,business_broadband_5g,source_fetched_no_plan_rows,,,hkt_enterprise_5g_business_broadband,https://www.hkt-enterprise.com/en/products-solutions/data-connectivity/business-broadband/solution/5g-broadband,,当前官方页面可访问，但未披露可结构化的套餐价格行；不能估算。,
,HKT Enterprise,business_broadband,source_fetched_no_plan_rows,,,hkt_enterprise_business_broadband_overview,https://www.hkt-enterprise.com/en/products-solutions/data-connectivity/business-broadband,,当前官方页面可访问，但未披露可结构化的套餐价格行；不能估算。,
,NETVIGATOR,home_5g_broadband,source_fetched_no_plan_rows,200,,netvigator_5g_home_broadband_plus,https://www.netvigator.com/eng/High-Speed-Home-Broadband-Plus.html,,当前官方页面可访问，但未披露可结构化的套餐价格行；不能估算。,"Netvigator | High Speed Home Broadband Plus Service High Speed Home Broadband Plus Service High Speed Home Broadband Plus Service 5G home broadband with no onsite installation necessary Registration F5G-A Super Broadband Promotion New customer Existing customer – Upgrade/ Renewal Offers Existing customer – New Offers Existing customer – Relocation Offer iPhone 17 Series Offers MacBook Offers Broadband Fibre-to-the Home 10,000M Fibre-to-the-Home 50,000M Fibre-to-the-Home Multi-Use Broadband Servi"
2010,csl,official_tariff_mobile_2g_3g,archive_fetched_no_plan_rows,200,csl_mobile_2g_3g_tariff_20100603,csl_mobile_2g_3g_tariff_20100603,https://www.ofca.gov.hk/filemanager/ofca/en/share/tariff/mob_operators/U003-004.pdf,https://web.archive.org/web/20100603id_/https://www.ofca.gov.hk/filemanager/ofca/en/share/tariff/mob_operators/U003-004.pdf,页面/快照可访问，但未解析到结构化套餐价格行；不能估算。,Tariff No.: U003-0004 Published on 3 June 2010 UNIFIED CARRIER LICENCE TELECOMMUNICATIONS ORDINANCE (CHAPTER 106) Hong Kong Telecommunications (HKT) Limited Name of Tariff: 2G and 3G Mobile Tariff Description of Tariff: PCCW Mobile HK Limited (“ PCCW mobile ”) on behalf of Hong Kong Telecommunications (HKT) Limited (the “ Company ”) publishes the tariffs of 2G and 3G mobile services provided by the Company. PCCW mobile acquires mobile services in bulk from t he Company and is authorized to inter
