operator_id,operator,year,metric_key,status
china_telecom,中国电信,2022,mobile_subscribers,available
china_telecom,中国电信,2022,5g_network_subscribers,not_collected
china_telecom,中国电信,2022,fixed_broadband_subscribers,available
china_telecom,中国电信,2022,mobile_arpu,available
china_telecom,中国电信,2022,handset_data_traffic,available
china_telecom,中国电信,2022,5g_base_stations,available
china_telecom,中国电信,2023,mobile_subscribers,available
china_telecom,中国电信,2023,5g_network_subscribers,not_collected
china_telecom,中国电信,2023,fixed_broadband_subscribers,available
china_telecom,中国电信,2023,mobile_arpu,available
china_telecom,中国电信,2023,handset_data_traffic,source_gap_confirmed
china_telecom,中国电信,2023,5g_base_stations,available
china_telecom,中国电信,2024,mobile_subscribers,available
china_telecom,中国电信,2024,5g_network_subscribers,available
china_telecom,中国电信,2024,fixed_broadband_subscribers,available
china_telecom,中国电信,2024,mobile_arpu,available
china_telecom,中国电信,2024,handset_data_traffic,available
china_telecom,中国电信,2024,5g_base_stations,available
china_telecom,中国电信,2025,mobile_subscribers,available
china_telecom,中国电信,2025,5g_network_subscribers,available
china_telecom,中国电信,2025,fixed_broadband_subscribers,available
china_telecom,中国电信,2025,mobile_arpu,available
china_telecom,中国电信,2025,handset_data_traffic,available
china_telecom,中国电信,2025,5g_base_stations,available
china_unicom,中国联通,2016,mobile_subscribers,available
china_unicom,中国联通,2016,5g_network_subscribers,not_collected
china_unicom,中国联通,2016,fixed_broadband_subscribers,available
china_unicom,中国联通,2016,mobile_arpu,available
china_unicom,中国联通,2016,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2016,5g_base_stations,not_collected
china_unicom,中国联通,2017,mobile_subscribers,available
china_unicom,中国联通,2017,5g_network_subscribers,not_collected
china_unicom,中国联通,2017,fixed_broadband_subscribers,available
china_unicom,中国联通,2017,mobile_arpu,available
china_unicom,中国联通,2017,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2017,5g_base_stations,not_collected
china_unicom,中国联通,2018,mobile_subscribers,available
china_unicom,中国联通,2018,5g_network_subscribers,not_collected
china_unicom,中国联通,2018,fixed_broadband_subscribers,available
china_unicom,中国联通,2018,mobile_arpu,available
china_unicom,中国联通,2018,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2018,5g_base_stations,not_collected
china_unicom,中国联通,2019,mobile_subscribers,available
china_unicom,中国联通,2019,5g_network_subscribers,not_collected
china_unicom,中国联通,2019,fixed_broadband_subscribers,available
china_unicom,中国联通,2019,mobile_arpu,available
china_unicom,中国联通,2019,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2019,5g_base_stations,not_collected
china_unicom,中国联通,2020,mobile_subscribers,available
china_unicom,中国联通,2020,5g_network_subscribers,not_collected
china_unicom,中国联通,2020,fixed_broadband_subscribers,available
china_unicom,中国联通,2020,mobile_arpu,available
china_unicom,中国联通,2020,mobile_dou,available
china_unicom,中国联通,2020,5g_base_stations,available
china_unicom,中国联通,2021,mobile_subscribers,available
china_unicom,中国联通,2021,5g_network_subscribers,not_collected
china_unicom,中国联通,2021,fixed_broadband_subscribers,available
china_unicom,中国联通,2021,mobile_arpu,available
china_unicom,中国联通,2021,mobile_dou,available
china_unicom,中国联通,2021,5g_base_stations,available
china_unicom,中国联通,2022,mobile_subscribers,available
china_unicom,中国联通,2022,5g_network_subscribers,not_collected
china_unicom,中国联通,2022,fixed_broadband_subscribers,available
china_unicom,中国联通,2022,mobile_arpu,available
china_unicom,中国联通,2022,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2022,5g_base_stations,available
china_unicom,中国联通,2023,mobile_subscribers,available
china_unicom,中国联通,2023,5g_network_subscribers,not_collected
china_unicom,中国联通,2023,fixed_broadband_subscribers,available
china_unicom,中国联通,2023,mobile_arpu,source_gap_confirmed
china_unicom,中国联通,2023,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2023,5g_base_stations,available
china_unicom,中国联通,2024,mobile_subscribers,available
china_unicom,中国联通,2024,5g_network_subscribers,not_collected
china_unicom,中国联通,2024,fixed_broadband_subscribers,available
china_unicom,中国联通,2024,mobile_arpu,source_gap_confirmed
china_unicom,中国联通,2024,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2024,5g_base_stations,available
china_unicom,中国联通,2025,mobile_subscribers,available
china_unicom,中国联通,2025,5g_network_subscribers,available
china_unicom,中国联通,2025,fixed_broadband_subscribers,available
china_unicom,中国联通,2025,mobile_arpu,source_gap_confirmed
china_unicom,中国联通,2025,mobile_dou,source_gap_confirmed
china_unicom,中国联通,2025,5g_base_stations,available
china_broadnet,中国广电,2016,mobile_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2016,5g_network_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2016,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2016,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2016,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2016,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2016,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2016,5g_base_stations,not_applicable_precommercial
china_broadnet,中国广电,2016,cable_tv_actual_users,not_collected
china_broadnet,中国广电,2016,revenue,source_gap_confirmed
china_broadnet,中国广电,2016,ebitda,source_gap_confirmed
china_broadnet,中国广电,2016,net_profit,source_gap_confirmed
china_broadnet,中国广电,2016,capex,source_gap_confirmed
china_broadnet,中国广电,2017,mobile_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2017,5g_network_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2017,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2017,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2017,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2017,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2017,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2017,5g_base_stations,not_applicable_precommercial
china_broadnet,中国广电,2017,cable_tv_actual_users,not_collected
china_broadnet,中国广电,2017,revenue,source_gap_confirmed
china_broadnet,中国广电,2017,ebitda,source_gap_confirmed
china_broadnet,中国广电,2017,net_profit,source_gap_confirmed
china_broadnet,中国广电,2017,capex,source_gap_confirmed
china_broadnet,中国广电,2018,mobile_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2018,5g_network_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2018,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2018,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2018,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2018,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2018,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2018,5g_base_stations,not_applicable_precommercial
china_broadnet,中国广电,2018,cable_tv_actual_users,not_collected
china_broadnet,中国广电,2018,revenue,source_gap_confirmed
china_broadnet,中国广电,2018,ebitda,source_gap_confirmed
china_broadnet,中国广电,2018,net_profit,source_gap_confirmed
china_broadnet,中国广电,2018,capex,source_gap_confirmed
china_broadnet,中国广电,2019,mobile_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2019,5g_network_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2019,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2019,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2019,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2019,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2019,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2019,5g_base_stations,not_applicable_precommercial
china_broadnet,中国广电,2019,cable_tv_actual_users,not_collected
china_broadnet,中国广电,2019,revenue,source_gap_confirmed
china_broadnet,中国广电,2019,ebitda,source_gap_confirmed
china_broadnet,中国广电,2019,net_profit,source_gap_confirmed
china_broadnet,中国广电,2019,capex,source_gap_confirmed
china_broadnet,中国广电,2020,mobile_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2020,5g_network_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2020,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2020,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2020,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2020,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2020,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2020,5g_base_stations,not_applicable_precommercial
china_broadnet,中国广电,2020,cable_tv_actual_users,not_collected
china_broadnet,中国广电,2020,revenue,source_gap_confirmed
china_broadnet,中国广电,2020,ebitda,source_gap_confirmed
china_broadnet,中国广电,2020,net_profit,source_gap_confirmed
china_broadnet,中国广电,2020,capex,source_gap_confirmed
china_broadnet,中国广电,2021,mobile_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2021,5g_network_subscribers,not_applicable_precommercial
china_broadnet,中国广电,2021,fixed_broadband_subscribers,source_gap_confirmed
china_broadnet,中国广电,2021,mobile_arpu,source_gap_confirmed
china_broadnet,中国广电,2021,broadband_arpu,source_gap_confirmed
china_broadnet,中国广电,2021,mobile_dou,source_gap_confirmed
china_broadnet,中国广电,2021,total_data_traffic,source_gap_confirmed
china_broadnet,中国广电,2021,5g_base_stations,not_applicable_precommercial
china_broadnet,中国广电,2021,cable_tv_actual_users,not_collected
china_broadnet,中国广电,2021,revenue,source_gap_confirmed
china_broadnet,中国广电,2021,ebitda,source_gap_confirmed
china_broadnet,中国广电,2021,net_profit,source_gap_confirmed
china_broadnet,中国广电,2021,capex,source_gap_confirmed
china_broadnet,中国广电,2022,mobile_subscribers,source_gap_confirmed
china_broadnet,中国广电,2022,5g_network_subscribers,available
china_broadnet,中国广电,2022,fixed_broadband_subscribers,source_gap_confirmed
