subject,metric_key,metric_zh,year,local_value,status,source_kind,online_metric,online_value,note,source_url
中国移动,total_assets,总资产,2023,"1,957,357",ok,balance,Total Assets,1957357,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/balance-sheet/
中国移动,total_assets,总资产,2024,"2,072,827",ok,balance,Total Assets,2072827,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/balance-sheet/
中国移动,total_assets,总资产,2025,"2,092,882",ok,balance,Total Assets,2092882,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/balance-sheet/
中国移动,total_debt,总债务,2023,"102,934",ok,balance,Total Debt,102934,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/balance-sheet/
中国移动,total_debt,总债务,2024,"88,442",ok,balance,Total Debt,88442,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/balance-sheet/
中国移动,total_debt,总债务,2025,"101,197",ok,balance,Total Debt,101197,diff=0.0,https://stockanalysis.com/quote/hkg/0941/financials/balance-sheet/
中国电信,revenue,营业收入/收益,2023,"513,551",ok,income,Revenue,513551,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,revenue,营业收入/收益,2024,"523,569",ok,income,Revenue,523569,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,revenue,营业收入/收益,2025,"523,925",ok,income,Revenue,523925,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,revenue_growth_yoy,收入同比增长,2023,6.67%,ok,income,Revenue Growth (YoY),6.67%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,revenue_growth_yoy,收入同比增长,2024,1.95%,ok,income,Revenue Growth (YoY),1.95%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,revenue_growth_yoy,收入同比增长,2025,0.07%,ok,income,Revenue Growth (YoY),0.07%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,gross_profit,毛利,2023,"260,335",ok,income,Gross Profit,260335,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,gross_profit,毛利,2024,"150,067",ok,income,Gross Profit,150067,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,gross_profit,毛利,2025,"152,310",ok,income,Gross Profit,152310,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,gross_margin,毛利率,2023,50.69%,ok,income,Gross Margin,50.69%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,gross_margin,毛利率,2024,28.66%,ok,income,Gross Margin,28.66%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,gross_margin,毛利率,2025,29.07%,ok,income,Gross Margin,29.07%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,operating_income,经营利润/营业利润,2023,"37,128",ok,income,Operating Income,37128,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,operating_income,经营利润/营业利润,2024,"39,117",ok,income,Operating Income,39117,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,operating_income,经营利润/营业利润,2025,"40,325",ok,income,Operating Income,40325,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,operating_margin,经营利润率,2023,7.23%,ok,income,Operating Margin,7.23%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,operating_margin,经营利润率,2024,7.47%,ok,income,Operating Margin,7.47%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,operating_margin,经营利润率,2025,7.70%,ok,income,Operating Margin,7.70%,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,net_income,净利润/股东应占利润,2023,"30,446",ok,income,Net Income,30446,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,net_income,净利润/股东应占利润,2024,"33,012",ok,income,Net Income,33012,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,net_income,净利润/股东应占利润,2025,"33,185",ok,income,Net Income,33185,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,ebitda,EBITDA,2023,"112,362",ok,income,EBITDA,112362,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,ebitda,EBITDA,2024,"123,998",ok,income,EBITDA,123998,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,ebitda,EBITDA,2025,"119,803",ok,income,EBITDA,119803,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,ebitda_margin,EBITDA率,2023,21.88%,ok,income_derived,EBITDA / Revenue,21.88%,EBITDA=112362; Revenue=513551; diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,ebitda_margin,EBITDA率,2024,23.68%,ok,income_derived,EBITDA / Revenue,23.68%,EBITDA=123998; Revenue=523569; diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,ebitda_margin,EBITDA率,2025,22.87%,ok,income_derived,EBITDA / Revenue,22.87%,EBITDA=119803; Revenue=523925; diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,operating_cash_flow,经营现金流,2023,"137,508",ok,cashflow,Operating Cash Flow,137508,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/cash-flow-statement/
中国电信,operating_cash_flow,经营现金流,2024,"145,268",ok,cashflow,Operating Cash Flow,145268,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/cash-flow-statement/
中国电信,operating_cash_flow,经营现金流,2025,"124,519",ok,cashflow,Operating Cash Flow,124519,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/cash-flow-statement/
中国电信,capital_expenditures,资本开支,2023,"-89,866",ok,cashflow,Capital Expenditures,-89866,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/cash-flow-statement/
中国电信,capital_expenditures,资本开支,2024,"-90,271",ok,cashflow,Capital Expenditures,-90271,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/cash-flow-statement/
中国电信,capital_expenditures,资本开支,2025,"-73,148",ok,cashflow,Capital Expenditures,-73148,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/cash-flow-statement/
中国电信,free_cash_flow,自由现金流,2023,"47,642",ok,income,Free Cash Flow,47642,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,free_cash_flow,自由现金流,2024,"54,997",ok,income,Free Cash Flow,54997,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,free_cash_flow,自由现金流,2025,"51,371",ok,income,Free Cash Flow,51371,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/
中国电信,cash_and_equivalents,现金及等价物,2023,"81,046",ok,balance,Cash & Equivalents,81046,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,cash_and_equivalents,现金及等价物,2024,"102,009",ok,balance,Cash & Equivalents,102009,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,cash_and_equivalents,现金及等价物,2025,"99,806",ok,balance,Cash & Equivalents,99806,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,total_assets,总资产,2023,"835,814",ok,balance,Total Assets,835814,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,total_assets,总资产,2024,"866,625",ok,balance,Total Assets,866625,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,total_assets,总资产,2025,"870,644",ok,balance,Total Assets,870644,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,total_debt,总债务,2023,"65,191",ok,balance,Total Debt,65191,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,total_debt,总债务,2024,"69,355",ok,balance,Total Debt,69355,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国电信,total_debt,总债务,2025,"61,932",ok,balance,Total Debt,61932,diff=0.0,https://stockanalysis.com/quote/hkg/0728/financials/balance-sheet/
中国联通,revenue,营业收入/收益,2023,"372,597",ok,income,Revenue,372597,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,revenue,营业收入/收益,2024,"389,589",ok,income,Revenue,389589,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,revenue,营业收入/收益,2025,"392,223",ok,income,Revenue,392223,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,revenue_growth_yoy,收入同比增长,2023,4.97%,ok,income,Revenue Growth (YoY),4.97%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,revenue_growth_yoy,收入同比增长,2024,4.56%,ok,income,Revenue Growth (YoY),4.56%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,revenue_growth_yoy,收入同比增长,2025,0.68%,ok,income,Revenue Growth (YoY),0.68%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,gross_profit,毛利,2023,"211,398",ok,income,Gross Profit,211398,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,gross_profit,毛利,2024,"217,153",ok,income,Gross Profit,217153,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,gross_profit,毛利,2025,"216,463",ok,income,Gross Profit,216463,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,gross_margin,毛利率,2023,56.74%,ok,income,Gross Margin,56.74%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,gross_margin,毛利率,2024,55.74%,ok,income,Gross Margin,55.74%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,gross_margin,毛利率,2025,55.19%,ok,income,Gross Margin,55.19%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,operating_income,经营利润/营业利润,2023,"16,146",ok,income,Operating Income,16146,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,operating_income,经营利润/营业利润,2024,"13,206",ok,income,Operating Income,13206,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,operating_income,经营利润/营业利润,2025,"15,897",ok,income,Operating Income,15897,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,operating_margin,经营利润率,2023,4.33%,ok,income,Operating Margin,4.33%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,operating_margin,经营利润率,2024,3.39%,ok,income,Operating Margin,3.39%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,operating_margin,经营利润率,2025,4.05%,ok,income,Operating Margin,4.05%,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,net_income,净利润/股东应占利润,2023,"18,726",ok,income,Net Income,18726,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,net_income,净利润/股东应占利润,2024,"20,613",ok,income,Net Income,20613,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,net_income,净利润/股东应占利润,2025,"20,816",ok,income,Net Income,20816,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,ebitda,EBITDA,2023,"84,122",ok,income,EBITDA,84122,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,ebitda,EBITDA,2024,"79,494",ok,income,EBITDA,79494,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,ebitda,EBITDA,2025,"80,522",ok,income,EBITDA,80522,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,ebitda_margin,EBITDA率,2023,22.58%,ok,income_derived,EBITDA / Revenue,22.58%,EBITDA=84122; Revenue=372597; diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,ebitda_margin,EBITDA率,2024,20.40%,ok,income_derived,EBITDA / Revenue,20.4%,EBITDA=79494; Revenue=389589; diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,ebitda_margin,EBITDA率,2025,20.53%,ok,income_derived,EBITDA / Revenue,20.53%,EBITDA=80522; Revenue=392223; diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,operating_cash_flow,经营现金流,2023,"102,391",ok,cashflow,Operating Cash Flow,102391,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/cash-flow-statement/
中国联通,operating_cash_flow,经营现金流,2024,"89,402",ok,cashflow,Operating Cash Flow,89402,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/cash-flow-statement/
中国联通,operating_cash_flow,经营现金流,2025,"90,175",ok,cashflow,Operating Cash Flow,90175,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/cash-flow-statement/
中国联通,capital_expenditures,资本开支,2023,"-79,375",ok,cashflow,Capital Expenditures,-79375,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/cash-flow-statement/
中国联通,capital_expenditures,资本开支,2024,"-75,740",ok,cashflow,Capital Expenditures,-75740,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/cash-flow-statement/
中国联通,capital_expenditures,资本开支,2025,"-67,641",ok,cashflow,Capital Expenditures,-67641,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/cash-flow-statement/
中国联通,free_cash_flow,自由现金流,2023,"23,016",ok,income,Free Cash Flow,23016,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,free_cash_flow,自由现金流,2024,"13,662",ok,income,Free Cash Flow,13662,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,free_cash_flow,自由现金流,2025,"22,534",ok,income,Free Cash Flow,22534,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/
中国联通,cash_and_equivalents,现金及等价物,2023,"47,733",ok,balance,Cash & Equivalents,47733,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,cash_and_equivalents,现金及等价物,2024,"28,480",ok,balance,Cash & Equivalents,28480,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,cash_and_equivalents,现金及等价物,2025,"25,109",ok,balance,Cash & Equivalents,25109,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,total_assets,总资产,2023,"661,051",ok,balance,Total Assets,661051,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,total_assets,总资产,2024,"671,237",ok,balance,Total Assets,671237,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,total_assets,总资产,2025,"669,618",ok,balance,Total Assets,669618,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,total_debt,总债务,2023,"46,425",ok,balance,Total Debt,46425,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,total_debt,总债务,2024,"41,207",ok,balance,Total Debt,41207,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国联通,total_debt,总债务,2025,"34,087",ok,balance,Total Debt,34087,diff=0.0,https://stockanalysis.com/quote/hkg/0762/financials/balance-sheet/
中国铁塔,revenue,营业收入/收益,2023,"94,009",ok,income,Revenue,94009,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,revenue,营业收入/收益,2024,"97,772",ok,income,Revenue,97772,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
中国铁塔,revenue,营业收入/收益,2025,"100,411",ok,income,Revenue,100411,diff=0.0,https://stockanalysis.com/quote/hkg/0788/financials/
