subject,legal_name,ticker,metric_key,metric_zh,year,value,unit
中国电信,China Telecom Corporation Limited,0728.HK,net_income,净利润/股东应占利润,2025,"33,185",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda,EBITDA,2023,"112,362",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda,EBITDA,2024,"123,998",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda,EBITDA,2025,"119,803",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda_margin,EBITDA率,2023,21.88%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda_margin,EBITDA率,2024,23.68%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,ebitda_margin,EBITDA率,2025,22.87%,millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_cash_flow,经营现金流,2023,"137,508",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_cash_flow,经营现金流,2024,"145,268",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,operating_cash_flow,经营现金流,2025,"124,519",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,capital_expenditures,资本开支,2023,"-89,866",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,capital_expenditures,资本开支,2024,"-90,271",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,capital_expenditures,资本开支,2025,"-73,148",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,free_cash_flow,自由现金流,2023,"47,642",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,free_cash_flow,自由现金流,2024,"54,997",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,free_cash_flow,自由现金流,2025,"51,371",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,cash_and_equivalents,现金及等价物,2023,"81,046",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,cash_and_equivalents,现金及等价物,2024,"102,009",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,cash_and_equivalents,现金及等价物,2025,"99,806",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,total_assets,总资产,2023,"835,814",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,total_assets,总资产,2024,"866,625",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,total_assets,总资产,2025,"870,644",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,total_debt,总债务,2023,"65,191",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,total_debt,总债务,2024,"69,355",millions CNY
中国电信,China Telecom Corporation Limited,0728.HK,total_debt,总债务,2025,"61,932",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,revenue,营业收入/收益,2023,"372,597",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,revenue,营业收入/收益,2024,"389,589",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,revenue,营业收入/收益,2025,"392,223",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,revenue_growth_yoy,收入同比增长,2023,4.97%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,revenue_growth_yoy,收入同比增长,2024,4.56%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,revenue_growth_yoy,收入同比增长,2025,0.68%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,gross_profit,毛利,2023,"211,398",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,gross_profit,毛利,2024,"217,153",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,gross_profit,毛利,2025,"216,463",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,gross_margin,毛利率,2023,56.74%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,gross_margin,毛利率,2024,55.74%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,gross_margin,毛利率,2025,55.19%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_income,经营利润/营业利润,2023,"16,146",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_income,经营利润/营业利润,2024,"13,206",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_income,经营利润/营业利润,2025,"15,897",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_margin,经营利润率,2023,4.33%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_margin,经营利润率,2024,3.39%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,operating_margin,经营利润率,2025,4.05%,millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,net_income,净利润/股东应占利润,2023,"18,726",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,net_income,净利润/股东应占利润,2024,"20,613",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,net_income,净利润/股东应占利润,2025,"20,816",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,ebitda,EBITDA,2023,"84,122",millions CNY
中国联通,China Unicom (Hong Kong) Limited,0762.HK,ebitda,EBITDA,2024,"79,494",millions CNY
