domain,domain_name,entity,metric,metric_label,period,value,unit,verification_status,source_count,source_urls,scope_note
01,本地运营商,3HK,net_profit,净利润,FY2025,-25.0,百万港元,official_three_distinct_sources_verified,6,"[""https://www.hthkh.com/en/ir/reports/ir2025/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf""]",FY2025净利润金额
01,本地运营商,3HK,postpaid,后付费用户数,FY2016,1.486,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2016/ar2016.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/announcement/a170937-e215_2016resultsannouncement.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre170228.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2017,1.487,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2017/ar2017.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/announcement/a189326-e215_2017resultsannouncement.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre180226.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2018,1.499,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2018/ar2018.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/announcement/a207044-e215_2018resultsannouncement.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre190228.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2019,1.475,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2019/ar2019.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/announcement/a225532-e215_2019resultsannouncement.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre200228.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2020,1.427,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2020/ar2020.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/announcement/a243524-e215_2020annualresultsannoucement.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre210226.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2021,1.442,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/annual/2021/res.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre220225.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2022,1.47,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/annual/2022/res.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/cpresent/pre230228.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2023,1.463,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2023/ar2023.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/annual/2023/res.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre240305.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2024,1.423,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2024/ar2024.pdf"", ""https://doc.irasia.com/listco/hk/hthkh/annual/2024/res.pdf"", ""https://www.hthkh.com/en/ir/presentation/pre250314.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,postpaid,后付费用户数,FY2025,1.289,百万户,official_source_count_below_three_displayed,3,"[""https://www.hthkh.com/en/ir/reports/ar2025/ar2025.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/highlights.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf""]",FY2025后付费用户数
01,本地运营商,3HK,revenue,营收,FY2016,8332.0,百万港元,official_three_distinct_sources_verified,3,"[""https://www.hthkh.com/en/ir/reports/ir2016/ir2016.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2016/ar2016.pdf"", ""https://www.hthkh.com/en/ir/reports/ar2017/ar2017.pdf""]",FY2025营收 · 三份不同官方文件核验
