record_class,数据子库,时间类型,期间,期间月份,抓取/生效时间,品牌,产品类别,网络代际,客户分段,产品系列,套餐名称,月费_HKD,平均月费_HKD,公开价格_HKD,计价单位,本地数据_GB,漫游数据_GB,宽频速度_Mbps,限速_Mbps,合约月数,本地语音,附加收费_HKD,资费类型,来源状态,核验次数,核验状态,来源ID,快照ID,来源URL,归档URL,证据摘录,记录键
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,1O1O,1O1O 5G,5G,高端个人客户,1O1O 5G,1O1O 5G service plan HK$419,419,,,,100,3,,2,,Unlimited local voice calling,,official_tariff_or_public_plan,parsed,,official_public_source_structured,1010_5g_service_plan,,https://www.1010.com.hk/5g-service-plan,,"Monthly 1 HK$419 Local mobile data 100GB Unlimited (Max 2Mbps) 2 Unlimited local voice call 4 100 minute international voice call 5 Monthly Mainland China & Macau roaming data usage 6 3GB Top-up Local Data: HK$10/2GB 5,000 Clubpoints 7 - ",0bf0fc47461163f0
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,1O1O,1O1O 5G,5G,高端个人客户,1O1O 5G,1O1O 5G service plan HK$459,459,,,,150,3,,2,,Unlimited local voice calling,,official_tariff_or_public_plan,parsed,,official_public_source_structured,1010_5g_service_plan,,https://www.1010.com.hk/5g-service-plan,,"Monthly 1 HK$459 Local mobile data 150GB Unlimited (Max 2Mbps) 2 Unlimited local voice call 4 300 minute international voice call 5 Monthly Mainland China & Macau roaming data usage 6 3GB Top-up Local Data: HK$10/2GB 5,000 Clubpoints 7 - ",d54f0f06f6271167
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,1O1O,1O1O 5G,5G,高端个人客户,1O1O 5G,1O1O 5G service plan HK$559,559,,,,250,3,,3,,Unlimited local voice calling,,official_tariff_or_public_plan,parsed,,official_public_source_structured,1010_5g_service_plan,,https://www.1010.com.hk/5g-service-plan,,"Monthly 1 HK$559 Local mobile data 250GB Unlimited (Max 3Mbps) 2 Unlimited local voice call 4 300 minute international voice call 5 Monthly Mainland China & Macau roaming data usage 6 3GB Top-up Local Data: HK$10/2GB 5,000 Clubpoints 7 - ",86b678cac5506433
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,1O1O,1O1O 5G,5G,高端个人客户,1O1O 5G,1O1O 5G service plan HK$759,759,,,,500,3,,3,,Unlimited local voice calling,,official_tariff_or_public_plan,parsed,,official_public_source_structured,1010_5g_service_plan,,https://www.1010.com.hk/5g-service-plan,,"Monthly 1 HK$759 Local mobile data 500GB Unlimited (Max 3Mbps) 2 Unlimited local voice call 4 300 minute international voice call 5 Monthly Mainland China & Macau roaming data usage 6 3GB Top-up Local Data: HK$10/2GB 5,000 Clubpoints 7 - ",3ddd8c5ac2c9d903
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,1O1O,1O1O 5G,5G,高端个人客户,1O1O 5G,1O1O Infinite Entertainment 5G Prestige Service (sports pack) HK$509,509,,,,500,3,,,24/36,Unlimited local voice call minutes,"First 6 months 1TB local data, then 500GB/month; HK$18/month administration fee applies.",official_tariff_or_public_plan,parsed,,official_public_source_structured,1010_infinite_entertainment_5g_prestige,,https://1010.com.hk/en/infinite-entertainment-5g-prestige-service,,"简体中文 English (US) Bahasa Indonesia 日本語 繁體中文 (HK) You can also upgrade to become a 1O1O HOME customer and enjoy premium services that take your home experience to the next level! 同時可升級成為 1O1O HOME 客戶，盡享尊貴個人化服務，全方位提升家居體驗！ Infinite Entertainment 5G Prestige Service (sports pack) HK$ 509 .00 / month ⁽¹⁾ Commitment period: 24 / 36 months Unlimited 5G data ⁽²⁾ Monthly roaming mobile data usage ⁽³⁾ : 3GB Local voice call minutes ⁽⁴⁾ : Unlimited IDD ⁽⁵⁾ : 300 minutes clubpoints reward ⁽⁶⁾ : 5,000 Handset eVoucher ⁽⁷⁾ : (Applicable to 36 months contract only) HK$2,000 Included Now TV packs ⁽⁸⁾⁽⁹⁾ : Super Sports Pack Plus",a2e80c514b73b24b
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,1O1O,1O1O 5G,5G,高端个人客户,1O1O 5G,1O1O Infinite Entertainment 5G Prestige Service (entertainment pack) HK$559,559,,,,500,3,,,24/36,Unlimited local voice call minutes,"First 6 months 1TB local data, then 500GB/month; HK$18/month administration fee applies.",official_tariff_or_public_plan,parsed,,official_public_source_structured,1010_infinite_entertainment_5g_prestige,,https://1010.com.hk/en/infinite-entertainment-5g-prestige-service,,"⁶⁾ : 5,000 Handset eVoucher ⁽⁷⁾ : (Applicable to 36 months contract only) HK$2,000 Included Now TV packs ⁽⁸⁾⁽⁹⁾ : Super Sports Pack Plus & Asia Signature Pack Local Intra-network SMS: 500 Local Intra-network MMS ​ : 200 Infinite Entertainment 5G Prestige Service (entertainment pack) HK$ 559 .00 / month ⁽¹⁾ Commitment period: 24 / 36 months Unlimited 5G data ⁽²⁾ Monthly roaming mobile data usage ⁽³⁾ : 3GB Local voice call minutes ⁽⁴⁾ : Unlimited IDD ⁽⁵⁾ : 300 minutes clubpoints reward ⁽⁶⁾ : 5,000 Handset eVoucher ⁽⁷⁾ : (Applicable to 36 months contract only) HK$2,000 Included Now TV packs​ ⁽⁸⁾⁽¹⁰⁾ : Asia Signature Pack⁽¹",8d7bd670a9f29d70
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,HKT Enterprise,HKT Enterprise,,企业客户,HKT Enterprise,HKT Enterprise Local Business Telephone Business Telephone line HK$189.80,189.80,,,,,,,,,Business fixed voice / telephone service,Installation and service change charges are disclosed separately on the official page; monthly_fee_hkd keeps recurring charge only.,official_tariff_or_public_plan,parsed,,official_public_source_structured,hkt_enterprise_local_business_telephone,,https://www.hkt-enterprise.com/en/cases-trends/local-business-telephone-services,,本轮页面抓取或解析临时失败，沿用上一轮同 source_id 的已解析公开记录；原证据：ion $600/line Monthly Charge $281/line DDI Diversity (with Adjacent Exchange Diversity) $379/line Pulse DDI line Installation $600/line Monthly Charge $344/line DDI Diversity (with Adjacent Exchange Diversity) $442/line Business Telephone line Monthly Charge $189.80/line Business Select line Monthly Charge $237/line Datel Datel is a general-purpose dial-up service for local and international data transmission over the Public Switched Telephone Network (PSTN). Service Features: Businesses are connected to digital switching and network facilities suitable for data transmissions. Monthly Charge: $198.80 (including telephone line charge) Service provision: installation within five days Integrated Digital Access (IDA) IDA employs digital technology to provide multichannel voice and voice band communication between customer equipment and the PSTN. Ty,259d263abdf664f8
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,HKT Enterprise,HKT Enterprise,,企业客户,HKT Enterprise,HKT Enterprise Local Business Telephone Business Select line HK$237,237,,,,,,,,,Business fixed voice / telephone service,Installation and service change charges are disclosed separately on the official page; monthly_fee_hkd keeps recurring charge only.,official_tariff_or_public_plan,parsed,,official_public_source_structured,hkt_enterprise_local_business_telephone,,https://www.hkt-enterprise.com/en/cases-trends/local-business-telephone-services,,本轮页面抓取或解析临时失败，沿用上一轮同 source_id 的已解析公开记录；原证据：(with Adjacent Exchange Diversity) $379/line Pulse DDI line Installation $600/line Monthly Charge $344/line DDI Diversity (with Adjacent Exchange Diversity) $442/line Business Telephone line Monthly Charge $189.80/line Business Select line Monthly Charge $237/line Datel Datel is a general-purpose dial-up service for local and international data transmission over the Public Switched Telephone Network (PSTN). Service Features: Businesses are connected to digital switching and network facilities suitable for data transmissions. Monthly Charge: $198.80 (including telephone line charge) Service provision: installation within five days Integrated Digital Access (IDA) IDA employs digital technology to provide multichannel voice and voice band communication between customer equipment and the PSTN. Types of Service: Standard Charge: IDA (T1) Installatio,abd4d1ed6bdc64ef
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,HKT Enterprise,HKT Enterprise,,企业客户,HKT Enterprise,HKT Enterprise Local Business Telephone Tone DDI line HK$281,281,,,,,,,,,Business fixed voice / telephone service,Installation and service change charges are disclosed separately on the official page; monthly_fee_hkd keeps recurring charge only.,official_tariff_or_public_plan,parsed,,official_public_source_structured,hkt_enterprise_local_business_telephone,,https://www.hkt-enterprise.com/en/cases-trends/local-business-telephone-services,,本轮页面抓取或解析临时失败，沿用上一轮同 source_id 的已解析公开记录；原证据：usiness telephone line installation within five days. Direct Dialling In (DDI) DDI connects a caller to the extensions of your certified and evaluated PABX system without going through a phone operator. Standard Charge: Tone DDI line Installation $600/line Monthly Charge $281/line DDI Diversity (with Adjacent Exchange Diversity) $379/line Pulse DDI line Installation $600/line Monthly Charge $344/line DDI Diversity (with Adjacent Exchange Diversity) $442/line Business Telephone line Monthly Charge $189.80/line Business Select line Monthly Charge $237/line Datel Datel is a general-purpose dial-up service for local and international data transmission over the Public Switched Telephone Network (PSTN). Service Features: Businesses are connected to digital switching and network facilities suitable for data transmissions. Monthly Charge: $198.80 (incl,3302f2156e57da3e
formal_product_tariff,HKT / csl / 1O1O / NETVIGATOR,当前,当前,,2026-07-13T08:53:30+08:00,HKT Enterprise,HKT Enterprise,,企业客户,HKT Enterprise,HKT Enterprise Local Business Telephone Tone DDI Diversity with Adjacent Exchange Diversity HK$379,379,,,,,,,,,Business fixed voice / telephone service,Installation and service change charges are disclosed separately on the official page; monthly_fee_hkd keeps recurring charge only.,official_tariff_or_public_plan,parsed,,official_public_source_structured,hkt_enterprise_local_business_telephone,,https://www.hkt-enterprise.com/en/cases-trends/local-business-telephone-services,,本轮页面抓取或解析临时失败，沿用上一轮同 source_id 的已解析公开记录；原证据：ialling In (DDI) DDI connects a caller to the extensions of your certified and evaluated PABX system without going through a phone operator. Standard Charge: Tone DDI line Installation $600/line Monthly Charge $281/line DDI Diversity (with Adjacent Exchange Diversity) $379/line Pulse DDI line Installation $600/line Monthly Charge $344/line DDI Diversity (with Adjacent Exchange Diversity) $442/line Business Telephone line Monthly Charge $189.80/line Business Select line Monthly Charge $237/line Datel Datel is a general-purpose dial-up service for local and international data transmission over the Public Switched Telephone Network (PSTN). Service Features: Businesses are connected to digital switching and network facilities suitable for data transmissions. Monthly Charge: $198.80 (including telephone line charge) Service provision: installation w,f3fc24c247437f96
